FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
243.529022,367.763611,12.942451,4.835302,30.088039,203.847473,34.687717,49345.675781,2.386551,2.565569,1.112017,0.684424,1.478394,2.309305,1.540176,4.693249,18.000000,,0
240.377441,495.803528,24.053162,8.850330,31.521978,199.594986,35.587223,36061.449219,2.380894,2.695310,1.381172,0.946959,1.498613,2.300150,1.551294,4.557043,145.000000,,0
99.820625,253.239716,5.131341,4.237057,9.485580,27.540871,8.356908,15004.944336,1.999220,2.403532,0.710231,0.627064,0.977064,1.439978,0.922046,4.176234,175.000000,,0
740.683228,1845.805786,3.274930,1.196491,12.106758,72.498695,14.790492,59502.316406,2.869632,3.266186,0.515202,0.077909,1.083028,1.860330,1.169983,4.774534,231.000000,,0
22.098072,196.338562,3.848506,2.090775,5.674079,32.305248,2.474083,99998.000000,1.344354,2.293006,0.585292,0.320307,0.753895,1.509273,0.393414,4.999991,249.000000,,0
264.643372,701.744812,37.097378,12.550817,43.101418,316.971344,78.552414,76694.015625,2.422661,2.846179,1.569343,1.098672,1.634492,2.501020,1.895159,4.884761,309.000000,,0
36.264767,216.900940,2.812370,2.627345,42.358234,45.633167,25.999311,99998.000000,1.559485,2.336262,0.449072,0.419517,1.626938,1.659281,1.414962,4.999991,360.000000,,0
29.958523,192.557892,0.166522,0.918954,1.973593,0.000000,24.017872,99998.000000,1.476520,2.284561,0.000000,0.000000,0.295258,0.000000,1.380535,4.999991,371.000000,,0
105.759903,262.941162,15.736319,7.518155,25.277407,184.324310,13.224732,99998.000000,2.024321,2.419859,1.196903,0.876111,1.402732,2.265583,1.121387,4.999991,438.000000,,0
452.890198,356.023804,17.768503,7.015506,32.036961,239.563324,30.295607,26134.474609,2.655993,2.551479,1.249651,0.846059,1.505651,2.379420,1.481380,4.417214,473.000000,,0
75.964821,166.071671,9.732280,4.690367,12.951703,63.796387,15.438587,50187.347656,1.880612,2.220296,0.988215,0.671207,1.112327,1.804796,1.188608,4.700594,524.000000,,0
14.592252,0.000000,0.659920,0.000000,0.000000,29.748827,1.909648,99998.000000,1.164122,0.000000,0.000000,0.000000,0.000000,1.473470,0.280953,4.999991,592.000000,,0
