FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
34.608799,69.482803,1.671386,0.912787,4.314150,52.408138,3.493396,99998.000000,1.539186,1.841877,0.223077,0.000000,0.634895,1.719399,0.543248,4.999991,372.000000,,0
28.691105,100.280098,0.817191,0.835693,3.324270,20.250912,1.157586,99998.000000,1.457747,2.001215,0.000000,0.000000,0.521696,1.306445,0.063553,4.999991,392.000000,,0
469.764435,543.650818,25.326746,11.690454,14.980803,178.079742,15.572380,25592.812500,2.671880,2.735320,1.403579,1.067831,1.175535,2.250614,1.192355,4.408118,974.000000,,0
108.140549,244.731674,4.255559,2.167868,6.068798,35.203960,5.490579,27631.722656,2.033988,2.388690,0.628957,0.336033,0.783103,1.546592,0.739618,4.441408,1200.000000,,0
56.216557,173.256775,1.421604,1.578874,3.882427,26.322794,3.451359,45518.371094,1.749864,2.238690,0.152779,0.198348,0.589103,1.420332,0.537990,4.658187,2301.000000,,0
81.811592,169.161575,9.164871,5.464385,11.221725,65.369095,9.581062,9236.136719,1.912815,2.228302,0.962126,0.737541,1.050060,1.815372,0.981414,3.965490,2430.000000,,0
238.360672,576.406250,12.809851,8.104066,17.817842,153.708954,15.897093,9766.555664,2.377235,2.760729,1.107544,0.908703,1.250855,2.186699,1.201318,3.989741,3675.000000,,0
55.140331,73.433067,4.175382,2.411484,4.258643,36.301773,3.898403,24925.601562,1.741469,1.865892,0.620696,0.382284,0.629271,1.559928,0.590887,4.396646,4428.000000,,0
12.347290,30.615358,1.554204,1.372264,1.757731,11.354326,4.506555,99998.000000,1.091572,1.485939,0.191508,0.137438,0.244952,1.055161,0.653845,4.999991,5334.000000,,0
15.924427,60.009556,3.352024,1.643633,2.763030,18.601112,2.273968,25409.880859,1.202064,1.778220,0.525307,0.215805,0.441386,1.269539,0.356784,4.405003,6033.000000,,0
12.301034,51.186981,2.275799,2.226459,0.573575,9.809373,2.969038,99998.000000,1.089942,1.709159,0.357134,0.347615,0.000000,0.991641,0.472616,4.999991,6049.000000,,0
13.013377,6.469684,1.939672,2.093859,1.267417,26.702093,100.070076,99998.000000,1.114390,0.810883,0.287728,0.320947,0.102919,1.426545,2.000304,4.999991,6738.000000,,0
905.000244,2352.686035,63.318409,33.677509,46.993095,550.046509,56.331192,42894.207031,2.956649,3.371564,1.801530,1.527340,1.672034,2.740399,1.750749,4.632399,6774.000000,,0
13.630125,4.952485,1.140983,0.095596,0.826442,5.402710,1.332501,0.000000,1.134500,0.694823,0.057279,0.000000,0.000000,0.732612,0.124668,0.000000,6827.000000,,0
19.375130,159.950439,2.244962,1.381515,1.551121,7.040175,0.694059,32327.117188,1.287245,2.203985,0.351209,0.140356,0.190646,0.847583,0.000000,4.509567,7269.000000,,0
26.372133,27.701225,2.235711,2.235711,4.042781,36.085911,3.785649,37101.796875,1.421145,1.442499,0.349416,0.349416,0.606680,1.557338,0.578140,4.569395,7353.000000,,0
30.251476,10.851677,1.578874,1.514116,3.459955,26.939541,2.686628,25687.142578,1.480747,1.035497,0.198348,0.180159,0.539070,1.430390,0.429208,4.409716,7585.000000,,0
2228.861572,3014.641357,222.534927,147.819016,2591.352051,16467.757812,2565.985840,23646.134766,3.348083,3.479236,2.347398,2.169730,3.413527,4.216634,3.409254,4.373760,7650.000000,,1
10.759165,0.000000,0.000000,0.000000,0.619832,0.000000,1.886862,0.000000,1.031779,0.000000,0.000000,0.000000,0.000000,0.000000,0.275740,0.000000,7708.000000,,0
2173.153809,1474.569824,14.999306,8.572794,7.882036,107.789001,6.631896,23181.470703,3.337090,3.168665,1.176071,0.933122,0.896638,2.032574,0.821638,4.365141,7815.000000,,0
11.499262,19.587908,2.325139,1.400017,2.436154,14.438065,1.102542,51724.855469,1.060670,1.291988,0.366449,0.146133,0.386705,1.159509,0.042395,4.713699,7887.000000,,0
