FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,P01.R1
11.591774,84.028801,1.292086,0.209694,0.767851,0.968294,1.269852,99998.000000,1.064150,1.924428,0.111292,0.000000,0.000000,0.000000,0.103753,4.999991,73.000000,,0
43.659573,116.972382,4.024279,2.951138,3.823836,48.279015,3.431177,22282.375000,1.640079,2.068083,0.604688,0.469990,0.582499,1.683758,0.535443,4.347961,396.000000,,0
10.913351,136.036057,0.576659,0.024670,2.325139,5.498306,1.523916,99998.000000,1.037958,2.133654,0.000000,0.000000,0.366449,0.740229,0.182961,4.999991,951.000000,,0
29.277016,21.438152,2.676685,0.564324,2.864793,32.003040,2.667074,54849.507812,1.466527,1.331187,0.427597,0.000000,0.457093,1.505191,0.426035,4.739173,1282.000000,,0
175.532578,16.809460,3.083739,1.455525,4.567017,65.637383,4.047366,39898.480469,2.244358,1.225554,0.489078,0.163020,0.659633,1.817151,0.607172,4.600956,1395.000000,,0
40.723854,275.408722,5.119006,2.753779,4.631775,54.181290,4.092822,45609.960938,1.609849,2.439978,0.709186,0.439929,0.665747,1.733849,0.612023,4.659060,2346.000000,,0
240.047470,6515.631836,4.135293,4.008861,5.985537,69.664742,6.349648,99998.000000,2.380297,3.813956,0.616506,0.603021,0.777103,1.843013,0.802750,4.999991,2872.000000,,0
12.069754,439.574615,0.222029,0.481063,0.000000,0.000000,3.561430,0.000000,1.081698,2.643033,0.000000,0.000000,0.000000,0.000000,0.551624,0.000000,2889.000000,,0
11.082957,54.458828,0.000000,0.092512,0.000000,0.000000,3.545132,0.000000,1.044656,1.736068,0.000000,0.000000,0.000000,0.000000,0.549632,0.000000,2898.000000,,0
1533.595703,1679.959229,102.108757,46.838909,29.409616,295.058289,28.977030,23371.679688,3.185711,3.225299,2.009063,1.670607,1.468489,2.469908,1.462054,4.368690,3404.000000,,0
27.072142,29.209173,2.352893,1.936588,5.223854,44.455177,5.094453,99998.000000,1.432523,1.465519,0.371602,0.287037,0.717991,1.647922,0.707098,4.999991,4501.000000,,0
11.345075,16.840298,1.625130,1.171821,1.119397,18.070709,0.199851,99998.000000,1.054807,1.226350,0.210888,0.068861,0.048984,1.256975,0.000000,4.999991,4518.000000,,0
56.574272,328.859161,1.887248,2.911049,4.015028,26.736015,5.447228,92170.656250,1.752619,2.517010,0.275829,0.464050,0.603689,1.427097,0.736176,4.964592,4952.000000,,0
2566.324463,5841.563477,328.538452,156.172867,106.567841,1182.212891,121.093292,34287.695312,3.409312,3.766529,2.516586,2.193606,2.027626,3.072696,2.083120,4.535138,5256.000000,,0
18.033705,0.508817,2.278883,1.199574,1.384599,13.173732,0.260535,84249.117188,1.256085,0.000000,0.357722,0.079027,0.141324,1.119709,0.000000,4.925565,5323.000000,,0
13.108974,25.903406,0.561240,0.888117,1.877997,5.109755,0.917764,99998.000000,1.117569,1.413357,0.000000,0.000000,0.273695,0.708400,0.000000,4.999991,6770.000000,,0
30.661613,25.669041,1.116313,1.199574,1.702224,8.902754,0.705663,2651.982666,1.486595,1.409410,0.047786,0.079027,0.231017,0.949524,0.000000,3.423571,6876.000000,,0
61.138203,76.131340,3.580221,2.029100,3.641896,28.709608,2.441486,99998.000000,1.786313,1.881563,0.553910,0.307303,0.561327,1.458027,0.387654,4.999991,7579.000000,,0
49.120876,43.227848,3.213256,1.245830,10.521717,108.714127,6.625045,99998.000000,1.691266,1.635764,0.506945,0.095459,1.022087,2.036286,0.821189,4.999991,8378.000000,,0
38.158184,44.837563,1.082392,1.289003,10.299687,55.476460,5.948174,99998.000000,1.581588,1.651642,0.034385,0.110254,1.012824,1.744109,0.774384,4.999991,8396.000000,,0
29.277016,132.280060,7.980716,3.089906,4.129126,28.543085,2.852079,0.000000,1.466527,2.121494,0.902042,0.489945,0.615858,1.455501,0.455162,0.000000,9195.000000,,0
156.703262,422.965607,6.975417,4.674948,8.726980,76.785095,9.837734,99998.000000,2.195078,2.626305,0.843570,0.669777,0.940864,1.885277,0.992895,4.999991,9322.000000,,0
14.367139,2.220292,0.012335,0.721595,1.091644,0.000000,0.362255,3620.154297,1.157370,0.346410,0.000000,0.000000,0.038081,0.000000,0.000000,3.558727,9853.000000,,0
84.081223,252.959091,5.180681,3.404448,5.624740,55.855759,6.680321,58501.738281,1.924699,2.403050,0.714387,0.532047,0.750102,1.747068,0.824797,4.767169,10005.000000,,0
76.091255,572.298767,20.469858,9.605846,15.745570,175.211868,13.511394,11241.209961,1.881335,2.757623,1.311115,0.982536,1.197158,2.243563,1.130700,4.050813,11153.000000,,0
40.443233,115.368835,7.178944,3.398280,2.719858,39.474941,3.178076,25352.517578,1.606846,2.062088,0.856061,0.531259,0.434546,1.596321,0.502164,4.404021,11341.000000,,0
