FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
12.587822,0.000000,0.431723,1.285919,0.228197,1.066974,0.652703,0.000000,1.099951,0.000000,0.000000,0.109214,0.000000,0.028154,0.000000,0.000000,51.000000,,0
11.977242,19.643415,0.974461,1.378431,0.684590,0.530403,0.332568,99998.000000,1.078357,1.293217,0.000000,0.139385,0.000000,0.000000,0.000000,4.999991,755.000000,,0
10.395284,2.547168,1.045387,0.678423,0.296039,0.055507,0.028911,99998.000000,1.016836,0.406058,0.019277,0.000000,0.000000,0.000000,0.000000,4.999991,2097.000000,,0
11.872395,1.390766,2.201789,0.761683,0.610580,1.057722,0.340524,99998.000000,1.074538,0.143254,0.342776,0.000000,0.000000,0.024372,0.000000,4.999991,2640.000000,,0
10.823923,3.978023,0.000000,0.000000,0.055507,2.763030,0.320926,99998.000000,1.034385,0.599667,0.000000,0.000000,0.000000,0.441386,0.000000,4.999991,2742.000000,,0
10.561805,0.000000,0.000000,0.123350,0.783270,1.363013,0.256896,99998.000000,1.023738,0.000000,0.000000,0.000000,0.000000,0.134500,0.000000,4.999991,2760.000000,,0
11.008947,0.000000,1.763899,1.437022,0.487231,0.000000,0.163762,99998.000000,1.041746,0.000000,0.246474,0.157463,0.000000,0.000000,0.000000,4.999991,2809.000000,,0
10.228762,4.582436,0.126433,0.231280,0.006167,0.666088,0.541539,0.000000,1.009823,0.661096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2978.000000,,0
10.820839,31.904362,0.317625,0.820275,0.246699,2.103110,0.026000,20981.396484,1.034261,1.503850,0.000000,0.000000,0.000000,0.322862,0.000000,4.321835,3028.000000,,0
12.634078,11.656532,1.107062,2.133947,0.635250,0.922038,0.046179,99998.000000,1.101544,1.066569,0.044172,0.329184,0.000000,0.000000,0.000000,4.999991,3162.000000,,0
10.524800,0.000000,2.565671,0.925122,0.000000,0.000000,0.468002,0.000000,1.022214,0.000000,0.409201,0.000000,0.000000,0.000000,0.000000,0.000000,3289.000000,,0
10.493963,0.000000,1.039220,0.700009,0.561240,0.104847,0.279016,99998.000000,1.020940,0.000000,0.016707,0.000000,0.000000,0.000000,0.000000,4.999991,3919.000000,,0
12.146847,0.000000,3.006645,0.996048,0.835693,1.538786,0.348620,99998.000000,1.084464,0.000000,0.478082,0.000000,0.000000,0.187178,0.000000,4.999991,5237.000000,,0
11.946404,13.623958,1.979760,1.322924,1.042304,0.000000,0.544838,99998.000000,1.077237,1.134303,0.296613,0.121535,0.017994,0.000000,0.000000,4.999991,5390.000000,,0
10.752997,0.000000,0.234364,0.299123,0.992964,0.940540,0.282508,99998.000000,1.031530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,5422.000000,,0
10.361362,0.000000,0.000000,0.937457,0.064759,0.311458,0.351583,3620.154297,1.015417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.558727,5903.000000,,0
11.372828,0.000000,0.394719,0.783270,0.175773,2.528666,0.324225,99998.000000,1.055869,0.000000,0.000000,0.000000,0.000000,0.402891,0.000000,4.999991,6140.000000,,0
10.842425,0.000000,0.000000,0.255950,0.675339,0.730846,0.207960,6976.779785,1.035126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.843655,6429.000000,,0
11.536266,22.138161,2.608843,1.905751,1.233495,1.051555,0.478120,99998.000000,1.062065,1.345142,0.416448,0.280066,0.091138,0.021832,0.000000,4.999991,7067.000000,,0
11.601026,0.000000,0.271369,0.410137,0.333044,0.092512,0.527290,99998.000000,1.064496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,7210.000000,,0
12.186935,0.000000,0.407054,0.539654,0.144936,0.774018,0.198687,99998.000000,1.085894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,7827.000000,,0
10.247264,0.000000,0.194276,1.372264,0.191192,2.673601,0.084597,99998.000000,1.010608,0.000000,0.000000,0.137438,0.000000,0.427097,0.000000,4.999991,8580.000000,,0
10.256516,0.000000,0.154187,1.159486,0.465645,1.036136,0.042493,20981.396484,1.011000,0.000000,0.000000,0.064265,0.000000,0.015417,0.000000,4.321835,9064.000000,,0
10.715992,0.000000,0.024670,0.117182,0.373132,0.000000,0.297628,99998.000000,1.030032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,10847.000000,,0
11.141548,0.000000,0.000000,0.000000,0.407054,0.000000,0.174433,99998.000000,1.046946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,11383.000000,,0
10.530968,3.506211,1.902667,1.208826,0.811023,1.326008,0.310255,20981.396484,1.022468,0.544838,0.279363,0.082364,0.000000,0.122546,0.000000,4.321835,11846.000000,,0
11.755212,0.000000,1.581958,0.718511,0.536571,0.897368,0.041134,99998.000000,1.070230,0.000000,0.199195,0.000000,0.000000,0.000000,0.000000,4.999991,12050.000000,,0
10.746830,0.000000,0.465645,0.505733,0.141852,2.223376,0.274747,0.000000,1.031280,0.000000,0.000000,0.000000,0.000000,0.347013,0.000000,0.000000,12660.000000,,0
11.246395,20.707306,1.877997,0.521152,1.171821,1.005299,0.540957,99998.000000,1.051013,1.316124,0.273695,0.000000,0.068861,0.002295,0.000000,4.999991,14461.000000,,0
10.904100,0.000000,0.000000,0.000000,0.650669,4.866140,0.313894,3203.495850,1.037590,0.000000,0.000000,0.000000,0.000000,0.687185,0.000000,3.505624,15012.000000,,0
10.370613,17.500217,0.000000,0.000000,0.425556,3.691235,0.040940,99998.000000,1.015804,1.243043,0.000000,0.000000,0.000000,0.567172,0.000000,4.999991,16795.000000,,0
13.278579,20.553120,0.558157,0.838777,0.817191,1.116313,0.194419,99998.000000,1.123152,1.312878,0.000000,0.000000,0.000000,0.047786,0.000000,4.999991,19388.000000,,0
10.845510,0.000000,0.000000,1.517200,1.073141,0.703092,0.406494,99998.000000,1.035250,0.000000,0.000000,0.181043,0.030657,0.000000,0.000000,4.999991,20236.000000,,0
11.150800,28.777451,0.450226,0.302206,1.177988,1.569623,0.630599,99998.000000,1.047306,1.459052,0.000000,0.000000,0.071141,0.195795,0.000000,4.999991,20753.000000,,0
11.055203,15.859669,1.187239,1.421604,0.783270,0.000000,0.273001,99998.000000,1.043567,1.200294,0.074538,0.152779,0.000000,0.000000,0.000000,4.999991,21823.000000,,0
13.771977,3.108409,2.719858,2.059937,1.393850,1.705307,0.944735,99998.000000,1.138996,0.492538,0.434546,0.313854,0.144216,0.231803,0.000000,4.999991,23105.000000,,0
10.447707,31.562067,0.450226,1.264333,0.700009,0.323793,0.069148,99998.000000,1.019021,1.499165,0.000000,0.101861,0.000000,0.000000,0.000000,4.999991,23134.000000,,0
11.440671,6.037961,0.962126,0.999131,0.814107,0.363881,0.664095,99998.000000,1.058452,0.780890,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,26451.000000,,0
12.313369,7.413308,2.263464,1.464776,0.974461,0.000000,0.372927,99998.000000,1.090377,0.870012,0.354774,0.165771,0.000000,0.000000,0.000000,4.999991,27634.000000,,0
10.419953,0.000000,0.804856,0.524236,0.360797,0.000000,0.125732,99998.000000,1.017866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,28177.000000,,0
11.477675,13.657879,0.160354,0.000000,0.397802,0.000000,0.016493,99998.000000,1.059854,1.135383,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,28492.000000,,0
