FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
13.068885,0.000000,1.770066,1.578874,0.693841,0.857279,0.057821,99998.000000,1.116238,0.000000,0.247989,0.198348,0.000000,0.000000,0.000000,4.999991,3267.000000,,0
10.312022,0.000000,1.406185,0.801772,0.000000,0.000000,0.808979,0.000000,1.013344,0.000000,0.148042,0.000000,0.000000,0.000000,0.000000,0.000000,3942.000000,,0
10.759165,14.891375,0.000000,0.000000,0.098680,0.000000,0.245397,99998.000000,1.031779,1.172935,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,14662.000000,,0
11.354326,5.082002,0.000000,0.740097,0.336128,0.052424,0.384957,99998.000000,1.055161,0.706035,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,16746.000000,,0
12.553901,0.000000,0.918954,1.125565,0.249783,1.958174,0.261165,99998.000000,1.098779,0.000000,0.000000,0.051370,0.000000,0.291851,0.000000,4.999991,18352.000000,,0
11.058288,0.000000,0.900452,1.039220,0.403970,1.214993,0.128448,99998.000000,1.043688,0.000000,0.000000,0.016707,0.000000,0.084574,0.000000,4.999991,18965.000000,,0
10.706741,0.000000,0.342295,0.000000,0.740097,3.290349,0.215956,81745.757812,1.029657,0.000000,0.000000,0.000000,0.000000,0.517242,0.000000,4.912465,22377.000000,,0
10.373697,0.000000,1.014550,1.005299,0.567408,0.000000,0.176956,99998.000000,1.015934,0.000000,0.006273,0.002295,0.000000,0.000000,0.000000,4.999991,26529.000000,,0
11.462257,0.000000,0.342295,1.618963,0.163438,0.000000,0.266792,99998.000000,1.059270,0.000000,0.000000,0.209237,0.000000,0.000000,0.000000,4.999991,34138.000000,,0
10.608061,1.168737,0.000000,0.246699,0.320709,1.165653,0.471882,12300.778320,1.025636,0.067717,0.000000,0.000000,0.000000,0.066569,0.000000,4.089932,35687.000000,,0
10.512465,3.823836,0.000000,0.000000,0.255950,2.926468,0.367688,99998.000000,1.021705,0.582499,0.000000,0.000000,0.000000,0.466344,0.000000,4.999991,46775.000000,,0
11.008947,0.000000,0.709260,0.955959,0.663004,0.175773,0.579987,99998.000000,1.041746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,47542.000000,,0
10.552554,0.000000,0.000000,0.715427,0.897368,1.418520,0.678192,99998.000000,1.023358,0.000000,0.000000,0.000000,0.000000,0.151835,0.000000,4.999991,47752.000000,,0
10.364446,0.000000,0.000000,0.826442,0.490314,3.675817,0.117777,99998.000000,1.015546,0.000000,0.000000,0.000000,0.000000,0.565354,0.000000,4.999991,48962.000000,,0
11.659616,0.000000,0.700009,0.450226,1.029969,2.719858,1.164074,99998.000000,1.066684,0.000000,0.000000,0.000000,0.012824,0.434546,0.065980,4.999991,49560.000000,,0
10.416869,0.000000,0.000000,0.955959,0.277536,2.285050,0.531644,0.000000,1.017737,0.000000,0.000000,0.000000,0.000000,0.358896,0.000000,0.000000,50188.000000,,0
12.180768,0.000000,0.000000,0.434807,0.434807,1.578874,0.380688,99998.000000,1.085675,0.000000,0.000000,0.000000,0.000000,0.198348,0.000000,4.999991,51010.000000,,0
11.875478,31.549730,0.564324,0.869614,0.200443,0.000000,0.335867,99998.000000,1.074651,1.498996,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,56498.000000,,0
13.263161,29.807419,1.822490,0.900452,0.647585,2.161701,0.129418,99998.000000,1.122647,1.474324,0.260665,0.000000,0.000000,0.334796,0.000000,4.999991,61745.000000,,0
11.073706,8.671474,0.000000,0.622915,0.203527,2.075356,0.005821,81745.757812,1.044293,0.938093,0.000000,0.000000,0.000000,0.317093,0.000000,4.912465,63655.000000,,0
11.533183,5.954700,1.384599,0.955959,1.144067,1.800903,0.336643,3620.154297,1.061949,0.774860,0.141324,0.000000,0.058451,0.255490,0.000000,3.558727,64583.000000,,0
11.372828,38.728676,1.366096,1.655968,0.672255,0.000000,0.118553,99998.000000,1.055869,1.588033,0.135481,0.219052,0.000000,0.000000,0.000000,4.999991,65466.000000,,0
10.635815,0.222029,1.936588,1.655968,0.706176,0.000000,0.368177,34940.886719,1.026771,0.000000,0.287037,0.219052,0.000000,0.000000,0.000000,4.543334,68051.000000,,0
10.527884,0.000000,1.110146,0.339211,0.074010,0.616748,0.392136,99998.000000,1.022341,0.000000,0.045380,0.000000,0.000000,0.000000,0.000000,4.999991,68401.000000,,0
14.203701,14.357887,1.131732,0.000000,0.999131,2.667434,0.140390,464.806732,1.152402,1.157091,0.053744,0.000000,0.000000,0.426094,0.000000,2.667272,68433.000000,,0
10.453875,0.000000,0.644501,0.240532,0.629083,0.000000,0.535912,99998.000000,1.019277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,70462.000000,,0
10.743746,0.000000,1.165653,0.271369,0.428640,1.702224,1.164377,99998.000000,1.031156,0.000000,0.066569,0.000000,0.000000,0.231017,0.066094,4.999991,71449.000000,,0
12.726590,0.000000,0.104847,1.171821,0.703092,1.643633,0.441366,99998.000000,1.104712,0.000000,0.000000,0.068861,0.000000,0.215805,0.000000,4.999991,71764.000000,,0
12.649496,0.000000,1.825573,1.017634,0.000000,2.442321,0.662614,0.000000,1.102073,0.000000,0.261399,0.007592,0.000000,0.387803,0.000000,0.000000,73009.000000,,0
10.352111,34.975765,1.474027,1.045387,1.070057,0.000000,0.699674,55703.886719,1.015029,1.543767,0.168505,0.019277,0.029407,0.000000,0.000000,4.745885,74813.000000,,0
16.852633,5.273193,1.270500,1.153318,0.465645,0.000000,0.071985,99998.000000,1.226668,0.722074,0.103975,0.061949,0.000000,0.000000,0.000000,4.999991,79439.000000,,0
10.876347,0.687674,0.807940,1.066974,0.678423,0.000000,0.303464,99998.000000,1.036483,0.000000,0.000000,0.028154,0.000000,0.000000,0.000000,4.999991,80502.000000,,0
11.378996,0.296039,1.541869,1.211909,0.934373,2.405316,0.495166,99998.000000,1.056104,0.000000,0.188048,0.083470,0.000000,0.381172,0.000000,4.999991,80949.000000,,0
11.224809,22.933765,0.530403,0.928205,1.113230,0.000000,0.352165,99998.000000,1.050179,1.360475,0.000000,0.000000,0.046585,0.000000,0.000000,4.999991,81909.000000,,0
10.768415,0.000000,0.632166,0.635250,0.061675,4.551599,0.521554,99998.000000,1.032152,0.000000,0.000000,0.000000,0.000000,0.658164,0.000000,4.999991,86699.000000,,0
14.993137,0.000000,0.000000,1.418520,0.598245,1.026885,0.050836,99998.000000,1.175892,0.000000,0.000000,0.151835,0.000000,0.011522,0.000000,4.999991,89360.000000,,0
11.909399,0.000000,1.147151,0.959043,1.316756,0.000000,0.753032,99998.000000,1.075890,0.000000,0.059621,0.000000,0.119505,0.000000,0.000000,4.999991,90929.000000,,0
10.518633,0.000000,0.524236,1.264333,0.471812,2.355976,0.317628,99998.000000,1.021959,0.000000,0.000000,0.101861,0.000000,0.372171,0.000000,4.999991,92869.000000,,0
10.765332,0.000000,0.000000,1.184156,0.696925,2.152450,0.100508,99998.000000,1.032027,0.000000,0.000000,0.073409,0.000000,0.332933,0.000000,4.999991,95106.000000,,0
10.308939,0.000000,0.326876,0.169606,1.316756,1.696056,0.724122,99998.000000,1.013214,0.000000,0.000000,0.000000,0.119505,0.229440,0.000000,4.999991,96017.000000,,0
13.346421,32.348419,0.616748,0.000000,0.832609,3.802250,0.139702,3620.154297,1.125365,1.509853,0.000000,0.000000,0.000000,0.580041,0.000000,3.558727,96220.000000,,0
10.500131,4.070535,0.151103,0.709260,0.817191,0.000000,0.283673,99998.000000,1.021195,0.609652,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,98719.000000,,0
10.423037,8.350764,0.265202,1.480195,0.296039,0.000000,0.133105,99998.000000,1.017994,0.921726,0.000000,0.170319,0.000000,0.000000,0.000000,4.999991,99293.000000,,0
11.416001,22.042564,0.527319,0.533487,0.555073,1.289003,0.195195,0.000000,1.057514,1.343262,0.000000,0.000000,0.000000,0.110254,0.000000,0.000000,103963.000000,,0
11.095292,9.531837,1.116313,1.289003,0.675339,0.000000,0.342076,99998.000000,1.045139,0.979177,0.047786,0.110254,0.000000,0.000000,0.000000,4.999991,105597.000000,,0
11.206306,6.959998,1.961258,0.851112,0.823358,3.604891,0.364001,99107.007812,1.049462,0.842609,0.292535,0.000000,0.000000,0.556892,0.000000,4.996104,108078.000000,,0
13.170649,0.000000,1.585042,2.522498,0.749349,0.641418,0.173075,20981.396484,1.119607,0.000000,0.200041,0.401831,0.000000,0.000000,0.000000,4.321835,108377.000000,,0
10.444623,0.000000,2.140115,1.014550,0.989880,2.436154,0.543480,29662.015625,1.018893,0.000000,0.330437,0.006273,0.000000,0.386705,0.000000,4.472201,109443.000000,,0
11.604109,56.509514,1.079309,2.220292,0.345379,3.364359,0.042299,99998.000000,1.064612,1.752122,0.033146,0.346410,0.000000,0.526902,0.000000,4.999991,109573.000000,,0
10.651234,0.000000,0.000000,0.000000,0.000000,0.376216,0.377271,0.000000,1.027400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109789.000000,,0
10.608061,0.000000,0.000000,0.345379,1.609712,1.301338,0.931735,99998.000000,1.025636,0.000000,0.000000,0.000000,0.206748,0.114390,0.000000,4.999991,110112.000000,,0
10.626564,11.163135,0.181941,0.746265,0.000000,0.604413,0.916600,0.000000,1.026393,1.047786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110429.000000,,0
10.543303,0.000000,0.000000,0.505733,0.000000,0.000000,0.471106,0.000000,1.022977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110646.000000,,0
10.460042,5.661744,1.455525,0.037005,0.437891,0.906619,0.318538,0.000000,1.019533,0.752950,0.163020,0.000000,0.000000,0.000000,0.000000,0.000000,112455.000000,,0
12.211605,0.000000,1.486362,0.000000,0.320709,0.000000,0.144359,99998.000000,1.086773,0.000000,0.172125,0.000000,0.000000,0.000000,0.000000,4.999991,112974.000000,,0
11.015115,11.992660,0.240532,1.113230,0.780186,0.000000,0.110864,99998.000000,1.041989,1.078915,0.000000,0.046585,0.000000,0.000000,0.000000,4.999991,116105.000000,,0
