Year,Month,Day,Site,Plot,Date,meantemp,mintemp,maxtemp,range
2021,05,15,East,EA,2021-05-15,29.4588055555556,28.853,30.558,1.705
2021,05,15,East,EB,2021-05-15,29.4040451388889,28.853,30.457,1.604
2021,05,15,West,WA,2021-05-15,29.4026423611111,28.953,30.457,1.504
2021,05,15,West,WB,2021-05-15,29.4161076388889,28.953,30.457,1.504
2021,05,16,East,EA,2021-05-16,29.6134861111111,28.655,31.268,2.613
2021,05,16,East,EB,2021-05-16,29.5593229166667,28.655,31.064,2.409
2021,05,16,West,WA,2021-05-16,29.4531597222222,28.853,30.457,1.604
2021,05,16,West,WB,2021-05-16,29.4762291666667,28.853,30.457,1.604
2021,05,17,East,EA,2021-05-17,29.5423402777778,28.853,30.457,1.604
2021,05,17,East,EB,2021-05-17,29.4945486111111,28.853,30.356,1.503
2021,05,17,West,WA,2021-05-17,29.3709166666667,28.853,29.953,1.1
2021,05,17,West,WB,2021-05-17,29.3551944444444,28.853,29.953,1.1
2021,05,18,East,EA,2021-05-18,29.3860243055556,28.953,30.255,1.302
2021,05,18,East,EB,2021-05-18,29.3408263888889,28.953,30.154,1.201
2021,05,18,West,WA,2021-05-18,29.2915833333333,29.152,29.652,0.5
2021,05,18,West,WB,2021-05-18,29.2496145833333,29.053,29.752,0.698999999999998
2021,05,19,East,EA,2021-05-19,29.3173055555556,29.053,29.853,0.800000000000001
2021,05,19,East,EB,2021-05-19,29.2774513888889,29.053,29.752,0.698999999999998
2021,05,19,West,WA,2021-05-19,29.2401944444444,29.152,29.552,0.399999999999999
2021,05,19,West,WB,2021-05-19,29.2218368055556,29.053,29.552,0.498999999999999
2021,05,20,East,EA,2021-05-20,29.4995694444444,29.053,30.154,1.101
2021,05,20,East,EB,2021-05-20,29.4558229166667,29.053,30.054,1.001
2021,05,20,West,WA,2021-05-20,29.398875,29.152,29.752,0.599999999999998
2021,05,20,West,WB,2021-05-20,29.3850243055556,29.053,29.752,0.698999999999998
2021,05,21,East,EA,2021-05-21,29.4758888888889,29.152,30.054,0.901999999999997
2021,05,21,East,EB,2021-05-21,29.4330763888889,29.152,30.054,0.901999999999997
2021,05,21,West,WA,2021-05-21,29.3749166666667,29.252,29.752,0.5
2021,05,21,West,WB,2021-05-21,29.3599861111111,29.152,29.752,0.599999999999998
2021,05,22,East,EA,2021-05-22,29.40359375,29.053,29.953,0.899999999999999
2021,05,22,East,EB,2021-05-22,29.3532430555556,29.053,29.853,0.800000000000001
2021,05,22,West,WA,2021-05-22,29.3124409722222,29.053,29.652,0.599
2021,05,22,West,WB,2021-05-22,29.2892430555556,29.053,29.652,0.599
2021,05,23,East,EA,2021-05-23,29.5056458333333,29.053,30.558,1.505
2021,05,23,East,EB,2021-05-23,29.4455034722222,28.953,30.457,1.504
2021,05,23,West,WA,2021-05-23,29.3971284722222,29.053,30.255,1.202
2021,05,23,West,WB,2021-05-23,29.3920868055556,29.053,30.356,1.303
2021,05,24,East,EA,2021-05-24,29.7678333333333,28.953,31.574,2.621
2021,05,24,East,EB,2021-05-24,29.6895416666667,28.953,31.37,2.417
2021,05,24,West,WA,2021-05-24,29.5562569444444,29.053,31.574,2.521
2021,05,24,West,WB,2021-05-24,29.5759548611111,28.953,31.88,2.927
2021,05,25,East,EA,2021-05-25,30.14521875,28.953,31.778,2.825
2021,05,25,East,EB,2021-05-25,30.0256423611111,28.953,31.472,2.519
2021,05,25,West,WA,2021-05-25,29.8782395833333,29.053,33.118,4.065
2021,05,25,West,WB,2021-05-25,29.9130625,29.053,33.118,4.065
2021,05,26,East,EA,2021-05-26,29.9492326388889,28.953,31.574,2.621
2021,05,26,East,EB,2021-05-26,29.8536631944444,28.953,31.166,2.213
2021,05,26,West,WA,2021-05-26,29.9337673611111,29.053,33.118,4.065
2021,05,26,West,WB,2021-05-26,29.9803923611111,28.953,33.118,4.165
2021,05,27,East,EA,2021-05-27,29.7170694444444,28.853,31.268,2.415
2021,05,27,East,EB,2021-05-27,29.6226631944444,28.853,30.963,2.11
2021,05,27,West,WA,2021-05-27,29.6783298611111,29.152,31.268,2.116
2021,05,27,West,WB,2021-05-27,29.6646631944444,29.053,31.268,2.215
2021,05,28,East,EA,2021-05-28,29.7254930555556,28.754,31.88,3.126
2021,05,28,East,EB,2021-05-28,29.5865625,28.754,31.268,2.514
2021,05,28,West,WA,2021-05-28,29.9087916666667,28.853,32.188,3.335
2021,05,28,West,WB,2021-05-28,29.8982465277778,28.853,32.188,3.335
2021,05,29,East,EA,2021-05-29,29.9441631944444,28.456,32.086,3.63
2021,05,29,East,EB,2021-05-29,29.8593854166667,28.456,31.983,3.527
2021,05,29,West,WA,2021-05-29,29.6694201388889,28.853,31.268,2.415
2021,05,29,West,WB,2021-05-29,29.6757291666667,28.754,31.37,2.616
2021,05,30,East,EA,2021-05-30,29.7617638888889,28.555,31.166,2.611
2021,05,30,East,EB,2021-05-30,29.7034652777778,28.555,31.064,2.509
2021,05,30,West,WA,2021-05-30,29.4659722222222,28.953,30.255,1.302
2021,05,30,West,WB,2021-05-30,29.4805,28.953,30.356,1.403
2021,05,31,East,EA,2021-05-31,29.2895243055556,28.655,30.054,1.399
2021,05,31,East,EB,2021-05-31,29.2464201388889,28.655,29.953,1.298
2021,05,31,West,WA,2021-05-31,29.2565138888889,28.357,29.652,1.295
2021,05,31,West,WB,2021-05-31,29.2292291666667,28.357,29.652,1.295
2021,06,01,East,EA,2021-06-01,29.8377222222222,28.754,31.472,2.718
2021,06,01,East,EB,2021-06-01,29.7785868055556,28.754,31.472,2.718
2021,06,01,West,WA,2021-06-01,29.4861701388889,28.953,30.76,1.807
2021,06,01,West,WB,2021-06-01,29.5017881944444,28.853,30.963,2.11
2021,06,02,East,EA,2021-06-02,30.0900208333333,29.152,31.778,2.626
