"","Site","Plot","Colony","Date","CD"
"1","East","A",1,2021-06-16,877900.767617971
"2","East","A",1,2021-09-30,962960.987567084
"3","East","A",1,2022-03-11,285045.994117878
"4","East","A",1,2022-05-27,485159.695579303
"5","East","A",2,2021-06-16,1170014.04561313
"6","East","A",2,2021-09-30,825774.233509307
"7","East","A",2,2022-03-11,357858.861160101
"8","East","A",2,2022-05-27,377674.964736428
"9","East","A",2,2022-08-22,596566.058018179
"10","East","A",3,2021-06-16,400003.702184275
"11","East","A",3,2021-09-30,925318.652767995
"12","East","A",3,2022-03-11,438765.362525374
"13","East","A",3,2022-05-27,1363105.77557013
"14","East","A",3,2022-08-22,700159.026421784
"15","East","A",4,2021-06-16,792440.838467023
"16","East","A",4,2021-09-30,257318.055384515
"17","East","A",4,2022-03-11,582409.393120689
"18","East","A",4,2022-05-27,689160.640097201
"19","East","A",5,2021-06-16,688015.758930009
"20","East","A",5,2021-09-30,633912.88173218
"21","East","A",5,2022-03-11,260294.024273372
"22","East","A",5,2022-05-27,358300.156660712
"23","East","A",5,2022-08-22,634579.025895466
"24","East","A",6,2021-06-16,685447.242429605
"25","East","A",6,2021-09-30,742680.496672574
"26","East","A",6,2022-03-11,408787.107368902
"27","East","A",6,2022-05-27,608221.716284125
"28","East","A",6,2022-08-22,899837.190315707
"29","East","A",7,2021-06-16,684965.428340807
"30","East","A",7,2021-09-30,1134082.63122045
"31","East","A",7,2022-03-11,721038.778189973
"32","East","A",7,2022-05-27,3133020.94052342
"33","East","A",7,2022-08-22,934628.687740912
"34","East","A",8,2021-06-16,209601.23516541
"35","East","A",8,2021-09-30,856996.921171271
"36","East","A",8,2022-03-11,365672.906478341
"37","East","A",8,2022-05-27,86809.7016880797
"38","East","A",8,2022-08-22,1067742.29740421
"39","East","A",9,2021-06-16,84140.5593816958
"40","East","A",9,2021-09-30,953825.430997139
"41","East","A",9,2022-03-11,665950.753602511
"42","East","A",9,2022-05-27,1756588.78322658
"43","East","A",9,2022-08-22,1117724.83678205
"44","East","A",10,2021-06-16,179870.752077986
"45","East","A",10,2021-09-30,870316.68016978
"46","East","A",10,2022-03-11,471428.49512661
"47","East","A",10,2022-05-27,52650.0602674794
"48","East","A",10,2022-08-22,1075081.20699695
"49","East","B",1,2021-06-16,75637.7070771272
"50","East","B",1,2021-09-30,997221.51268451
"51","East","B",1,2022-03-11,215224.150721488
"52","East","B",1,2022-05-27,403181.198883999
"53","East","B",1,2022-08-22,675217.102870583
"54","East","B",2,2021-06-16,46893.307467823
"55","East","B",2,2021-09-30,1181215.68530848
"56","East","B",2,2022-03-11,279641.882327691
"57","East","B",2,2022-05-27,427491.947480856
"58","East","B",2,2022-08-22,727234.791571183
"59","East","B",3,2021-06-16,101746.178097892
"60","East","B",3,2021-09-30,1837260.01247394
"61","East","B",3,2022-03-11,403644.676483446
"62","East","B",3,2022-05-27,702432.798282915
"63","East","B",3,2022-08-22,808257.861286375
"64","East","B",4,2021-06-16,73919.9127354407
"65","East","B",4,2021-09-30,1102345.171734
"66","East","B",4,2022-03-11,490039.955709006
"67","East","B",4,2022-05-27,556541.795140531
"68","East","B",4,2022-08-22,1176469.41789595
"69","East","B",5,2021-06-16,198797.33330213
"70","East","B",5,2021-09-30,880007.215604526
"71","East","B",5,2022-03-11,464887.739571556
"72","East","B",5,2022-05-27,580221.893315678
"73","East","B",5,2022-08-22,1763219.40462618
"74","East","B",6,2021-06-16,163861.000177675
"75","East","B",6,2021-09-30,1049609.51917739
"76","East","B",6,2022-03-11,432299.815774913
"77","East","B",6,2022-05-27,368108.565963244
"78","East","B",6,2022-08-22,1705572.30299242
"79","East","B",7,2021-06-16,42255.1520089932
"80","East","B",7,2021-09-30,1360916.99313379
"81","East","B",7,2022-03-11,786833.049986084
"82","East","B",7,2022-05-27,848437.048501249
"83","East","B",7,2022-08-22,1789177.9482604
"84","East","B",8,2021-06-16,77463.9310595426
"85","East","B",8,2021-09-30,1313531.30729474
"86","East","B",8,2022-03-11,507738.045457231
"87","East","B",8,2022-08-22,692130.936537142
"88","East","B",9,2021-06-16,41086.9739896145
"89","East","B",9,2021-09-30,1428786.88292656
"90","East","B",9,2022-03-11,724229.322808642
"91","East","B",9,2022-05-27,1147177.18095592
"92","East","B",9,2022-08-22,934754.491789464
"93","East","B",10,2021-06-16,86413.9012388744
"94","East","B",10,2021-09-30,872518.532746182
"95","East","B",10,2022-03-11,386991.216832216
"96","East","B",10,2022-05-27,634197.740072726
"97","East","B",10,2022-08-22,1472001.1509239
"98","Luminao","A",1,2021-05-18,1395803.12057776
"99","Luminao","A",1,2021-08-04,1137434.20419065
"100","Luminao","A",1,2022-09-01,1769642.05763982
"101","Luminao","A",2,2021-05-18,1770620.01184558
"102","Luminao","A",2,2021-08-04,1105315.19511041
"103","Luminao","A",2,2022-09-01,1550845.2414254
"104","Luminao","A",3,2021-05-18,1350149.45778566
"105","Luminao","A",3,2021-08-04,932995.025714101
"106","Luminao","A",3,2022-09-01,1220359.77360271
"107","Luminao","34",1,2021-05-12,549299.406911383
"108","Luminao","34",2,2021-05-12,202024.501772186
"109","Luminao","34",3,2021-05-12,618040.167359505
"110","Luminao","34",4,2021-05-12,502989.54413776
"111","Luminao","34",5,2021-05-12,616151.653515622
"112","Luminao","34",6,2021-05-12,248417.467975319
