"","Site","Plot","Date","Colony","Rep","Tint","Year","Month","Day","meantemp","mintemp","maxtemp","range"
"1","East","A",2021-06-16,3,"L",72.169,2021,"06","16",30.51628125,29.053,31.983,2.93
"2","East","A",2021-06-16,7,"R",101.285,2021,"06","16",30.51628125,29.053,31.983,2.93
"3","East","A",2021-06-16,9,"L",107.179,2021,"06","16",30.51628125,29.053,31.983,2.93
"4","East","A",2021-06-16,8,"L",91.262,2021,"06","16",30.51628125,29.053,31.983,2.93
"5","East","A",2021-06-16,5,"L",81.508,2021,"06","16",30.51628125,29.053,31.983,2.93
"6","East","A",2021-06-16,6,"R",109.241,2021,"06","16",30.51628125,29.053,31.983,2.93
"7","East","A",2021-06-16,4,"L",87.277,2021,"06","16",30.51628125,29.053,31.983,2.93
"8","East","A",2021-06-16,9,"R",113.456,2021,"06","16",30.51628125,29.053,31.983,2.93
"9","East","A",2021-06-16,1,"L",103.485,2021,"06","16",30.51628125,29.053,31.983,2.93
"10","East","A",2021-06-16,2,"L",86.485,2021,"06","16",30.51628125,29.053,31.983,2.93
"11","East","A",2021-06-16,6,"L",103.964,2021,"06","16",30.51628125,29.053,31.983,2.93
"12","East","A",2021-06-16,10,"R",85.466,2021,"06","16",30.51628125,29.053,31.983,2.93
"13","East","A",2021-06-16,8,"R",120.687,2021,"06","16",30.51628125,29.053,31.983,2.93
"14","East","A",2021-06-16,7,"L",102.518,2021,"06","16",30.51628125,29.053,31.983,2.93
"15","East","A",2021-06-16,10,"L",91.257,2021,"06","16",30.51628125,29.053,31.983,2.93
"16","East","A",2021-06-16,5,"R",84.227,2021,"06","16",30.51628125,29.053,31.983,2.93
"17","East","A",2021-06-16,4,"R",100.464,2021,"06","16",30.51628125,29.053,31.983,2.93
"18","East","A",2021-06-16,1,"R",119.557,2021,"06","16",30.51628125,29.053,31.983,2.93
"19","East","A",2021-06-16,3,"R",57.262,2021,"06","16",30.51628125,29.053,31.983,2.93
"20","East","A",2021-06-16,2,"R",80.425,2021,"06","16",30.51628125,29.053,31.983,2.93
"21","East","A",2021-07-06,4,"R",52.828,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"22","East","A",2021-07-06,1,"R",102.656,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"23","East","A",2021-07-06,10,"L",46.58,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"24","East","A",2021-07-06,3,"R",17.054,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"25","East","A",2021-07-06,7,"R",69.505,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"26","East","A",2021-07-06,8,"L",84.16,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"27","East","A",2021-07-06,7,"L",86.893,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"28","East","A",2021-07-06,2,"R",71.893,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"29","East","A",2021-07-06,1,"L",98.29,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"30","East","A",2021-07-06,5,"L",57.12,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"31","East","A",2021-07-06,3,"L",48.689,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"32","East","A",2021-07-06,9,"R",99.81,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"33","East","A",2021-07-06,2,"L",71.669,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"34","East","A",2021-07-06,8,"R",92.125,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"35","East","A",2021-07-06,9,"L",75.634,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"36","East","A",2021-07-06,6,"R",99.503,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"37","East","A",2021-07-06,4,"L",84.961,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"38","East","A",2021-07-06,6,"L",37.526,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"39","East","A",2021-07-06,10,"R",48.771,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"40","East","A",2021-07-06,5,"R",79.118,2021,"07","06",30.0354370629371,29.252,31.676,2.424
"41","East","A",2021-07-20,9,"R",92.941,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"42","East","A",2021-07-20,5,"R",86.781,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"43","East","A",2021-07-20,8,"L",79.451,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"44","East","A",2021-07-20,10,"R",51.531,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"45","East","A",2021-07-20,6,"L",84.538,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"46","East","A",2021-07-20,2,"L",83.366,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"47","East","A",2021-07-20,4,"L",94.207,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"48","East","A",2021-07-20,7,"L",93.768,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"49","East","A",2021-07-20,7,"R",68.058,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"50","East","A",2021-07-20,1,"L",106.715,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"51","East","A",2021-07-20,9,"L",59.557,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"52","East","A",2021-07-20,3,"L",98.302,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"53","East","A",2021-07-20,1,"R",126.781,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"54","East","A",2021-07-20,5,"L",91.864,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"55","East","A",2021-07-20,10,"L",81.256,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"56","East","A",2021-07-20,8,"R",97.543,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"57","East","A",2021-07-20,2,"R",88.737,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"58","East","A",2021-07-20,6,"R",73.97,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"59","East","A",2021-07-20,4,"R",78.905,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"60","East","A",2021-07-20,3,"R",71.334,2021,"07","20",29.6678020833333,29.152,30.154,1.002
"61","East","A",2021-08-06,2,"R",62.667,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"62","East","A",2021-08-06,10,"L",63.529,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"63","East","A",2021-08-06,3,"R",59.534,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"64","East","A",2021-08-06,1,"R",108.508,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"65","East","A",2021-08-06,7,"R",87.909,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"66","East","A",2021-08-06,5,"L",91.52,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"67","East","A",2021-08-06,8,"R",57.998,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"68","East","A",2021-08-06,4,"R",78.01,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"69","East","A",2021-08-06,2,"L",67.685,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"70","East","A",2021-08-06,9,"R",79.7,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"71","East","A",2021-08-06,1,"L",95.223,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"72","East","A",2021-08-06,7,"L",78.797,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"73","East","A",2021-08-06,3,"L",87.412,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"74","East","A",2021-08-06,10,"R",66.952,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"75","East","A",2021-08-06,4,"L",83.2,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"76","East","A",2021-08-06,6,"R",101.785,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"77","East","A",2021-08-06,9,"L",89.361,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"78","East","A",2021-08-06,8,"L",82.144,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"79","East","A",2021-08-06,6,"L",78.127,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"80","East","A",2021-08-06,5,"R",78.702,2021,"08","06",29.9059513888889,29.252,31.268,2.016
"81","East","A",2021-08-23,8,"R",93.392,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"82","East","A",2021-08-23,7,"L",77.323,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"83","East","A",2021-08-23,10,"R",65.517,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"84","East","A",2021-08-23,9,"R",104.805,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"85","East","A",2021-08-23,9,"L",88.489,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"86","East","A",2021-08-23,8,"L",88.717,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"87","East","A",2021-08-23,3,"L",76.424,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"88","East","A",2021-08-23,6,"L",84.636,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"89","East","A",2021-08-23,1,"R",108.56,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"90","East","A",2021-08-23,5,"R",77.359,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"91","East","A",2021-08-23,6,"R",58.227,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"92","East","A",2021-08-23,2,"L",86.292,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"93","East","A",2021-08-23,5,"L",83.805,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"94","East","A",2021-08-23,2,"R",80.334,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"95","East","A",2021-08-23,10,"L",65.96,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"96","East","A",2021-08-23,7,"R",76.465,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"97","East","A",2021-08-23,4,"R",66.584,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"98","East","A",2021-08-23,4,"L",78.515,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"99","East","A",2021-08-23,3,"R",79.616,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"100","East","A",2021-08-23,1,"L",76.338,2021,"08","23",30.2877395833333,29.252,31.983,2.731
"101","East","A",2021-09-09,7,"R",58.562,2021,"09","09",29.97040625,28.853,31.676,2.823
"102","East","A",2021-09-09,6,"L",75.482,2021,"09","09",29.97040625,28.853,31.676,2.823
"103","East","A",2021-09-09,6,"R",84.473,2021,"09","09",29.97040625,28.853,31.676,2.823
"104","East","A",2021-09-09,10,"L",84.854,2021,"09","09",29.97040625,28.853,31.676,2.823
"105","East","A",2021-09-09,5,"L",86.417,2021,"09","09",29.97040625,28.853,31.676,2.823
"106","East","A",2021-09-09,5,"R",97.954,2021,"09","09",29.97040625,28.853,31.676,2.823
"107","East","A",2021-09-09,2,"L",81.92,2021,"09","09",29.97040625,28.853,31.676,2.823
"108","East","A",2021-09-09,4,"L",91.779,2021,"09","09",29.97040625,28.853,31.676,2.823
"109","East","A",2021-09-09,2,"R",86.429,2021,"09","09",29.97040625,28.853,31.676,2.823
"110","East","A",2021-09-09,1,"R",120.463,2021,"09","09",29.97040625,28.853,31.676,2.823
"111","East","A",2021-09-09,7,"L",95.517,2021,"09","09",29.97040625,28.853,31.676,2.823
"112","East","A",2021-09-09,3,"L",98.38,2021,"09","09",29.97040625,28.853,31.676,2.823
"113","East","A",2021-09-09,4,"R",72.914,2021,"09","09",29.97040625,28.853,31.676,2.823
"114","East","A",2021-09-09,1,"L",99.61,2021,"09","09",29.97040625,28.853,31.676,2.823
"115","East","A",2021-09-09,9,"R",86.412,2021,"09","09",29.97040625,28.853,31.676,2.823
"116","East","A",2021-09-09,10,"R",89.392,2021,"09","09",29.97040625,28.853,31.676,2.823
"117","East","A",2021-09-09,8,"R",103.4,2021,"09","09",29.97040625,28.853,31.676,2.823
"118","East","A",2021-09-09,3,"R",76.613,2021,"09","09",29.97040625,28.853,31.676,2.823
"119","East","A",2021-09-09,8,"L",98.87,2021,"09","09",29.97040625,28.853,31.676,2.823
"120","East","A",2021-09-09,9,"L",73.328,2021,"09","09",29.97040625,28.853,31.676,2.823
"121","East","A",2021-09-30,10,"L",49.092,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"122","East","A",2021-09-30,8,"R",96.514,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"123","East","A",2021-09-30,3,"R",78.765,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"124","East","A",2021-09-30,5,"R",80.865,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"125","East","A",2021-09-30,9,"L",58.75,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"126","East","A",2021-09-30,8,"L",122.573,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"127","East","A",2021-09-30,1,"L",NA,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"128","East","A",2021-09-30,9,"R",97.057,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"129","East","A",2021-09-30,1,"R",NA,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"130","East","A",2021-09-30,10,"R",85.867,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"131","East","A",2021-09-30,3,"L",91.64,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"132","East","A",2021-09-30,4,"L",105.962,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"133","East","A",2021-09-30,2,"L",68.225,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"134","East","A",2021-09-30,5,"L",75.547,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"135","East","A",2021-09-30,7,"L",85.925,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"136","East","A",2021-09-30,6,"R",115.017,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"137","East","A",2021-09-30,4,"R",111.292,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"138","East","A",2021-09-30,7,"R",77.274,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"139","East","A",2021-09-30,6,"L",98.325,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"140","East","A",2021-09-30,2,"R",107.478,2021,"09","30",29.844375,29.652,30.255,0.602999999999998
"141","East","A",2021-10-12,6,"R",117.328,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"142","East","A",2021-10-12,3,"L",97.606,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"143","East","A",2021-10-12,9,"L",77.092,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"144","East","A",2021-10-12,5,"R",71.373,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"145","East","A",2021-10-12,6,"L",74.227,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"146","East","A",2021-10-12,10,"L",50.949,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"147","East","A",2021-10-12,5,"L",51.615,2021,"10","12",29.4744965277778,28.953,30.054,1.101
"148","East","A",2021-10-12,8,"R",147.385,2021,"10","12",29.4744965277778,28.953,30.054,1.101
